보관소명,소재지,위도,경도,LCD,QR,설치대수
방이동 한양3차아파트 옆,송파구,37.50630188,127.1213989,8,,8
송파여성문화회관 앞,송파구,37.50580215,127.1097183,10,,10
장지공영차고지,송파구,37.48054123,127.1370163,10,,10
천호역 10번 출구 앞,송파구,37.53858185,127.1228027,8,,8
문정동 근린공원,송파구,37.48598862,127.1247635,10,,10
문정동 글샘 공원,송파구,37.47880936,127.1200028,,10,10
올림픽공원 남2문 앞,송파구,37.51424026,127.1230698,,15,15
몽촌토성역 1번출구 옆,송파구,37.51728821,127.1141968,,15,15
리센츠아파트,송파구,37.51194382,127.091217,10,,10
송파도서관,송파구,37.49998474,127.1353912,15,15,30
영파여고 앞,송파구,37.53284836,127.121048,20,,20
거여초등학교 옆,송파구,37.50458908,127.1393662,15,,15
성내6교,송파구,37.50375748,127.1370926,8,,8
송파구청 교차로,송파구,37.51579666,127.1068192,,10,10
마천금호어울림 1차아파트 건너편,송파구,37.49751663,127.1546783,10,,10
송파파크데일 2단지입구 앞 주차장,송파구,37.49565887,127.1571732,13,,13
송파소방서 맞은편(성내4교),송파구,37.49987411,127.1414795,10,,10
오금공원 사거리,송파구,37.50541306,127.131691,8,,8
위례별 유치원 뒤,송파구,37.4774704,127.1445923,10,,10
위례중앙푸르지오 1단지 앞,송파구,37.47437668,127.1406708,10,,10
위례아이파크 101동 맞은편,송파구,37.47753143,127.1415176,8,,8
문정중교 사거리,송파구,37.48799896,127.1310883,15,,15
풍납토성 서성벽터B,송파구,37.53147125,127.1110916,10,,10
위례송파꿈에그린아파트24단지 앞 성벽 다리 밑,송파구,37.47458267,127.1375427,10,,10
서울체육고등학교 앞,송파구,37.52193832,127.1318665,10,,10
석촌호수 서호 사거리,송파구,37.50656128,127.0965576,14,,14
잠실역 8번출구,송파구,37.51396179,127.1003037,25,,25
석촌호수교차로 (송파나루근린공원 앞),송파구,37.50867844,127.1034317,10,,10
석촌호수교차로(동호 팔각정 앞),송파구,37.50920105,127.1041184,15,,15
송파소방서 (방이119안전센터),송파구,37.51987839,127.1367111,15,,15
오륜사거리,송파구,37.50693893,127.1392212,15,,15
한성대입구역6번출구 뒤,성북구,37.58876419,127.0063095,5,,5
돈암초교 입구,성북구,37.59169388,127.012497,10,,10
만해공원,성북구,37.59440231,126.9923096,10,,10
성북구청,성북구,37.58932877,127.0164337,15,,15
한성대입구역2번출구,성북구,37.58844757,127.0067062,,10,10
안암로터리 버스정류장 앞,성북구,37.58259201,127.0289764,18,,18
정릉꿈에그린1단지 201동 앞,성북구,37.60243988,127.0116882,8,,8
고려사대부속중고 정문,성북구,37.60776138,127.0032806,10,,10
고려사대부속중고 건너편,성북구,37.60726166,127.0028381,10,,10
길음역 3번출구 뒤,성북구,37.60308456,127.0247879,14,,14
종암사거리 분수대,성북구,37.6030426,127.0332718,,10,10
국민은행 종암동지점 앞,성북구,37.59328842,127.0366669,14,,14
래미안라센트아파트 103동 앞,성북구,37.59806824,127.0392761,10,,10
월곡역 입구 육교 밑,성북구,37.60043335,127.0402069,10,,10
상월곡역 4번출구,성북구,37.60580826,127.0477371,10,,10
상월곡역 1번출구,성북구,37.60606766,127.0473175,10,,10
상월곡역 3번출구,성북구,37.60734177,127.0506821,10,,10
월곡역 3번출구,성북구,37.6026268,127.0416336,10,,10
석계역 5번출구 건너편,성북구,37.61355591,127.0660934,10,,10
석관초등학교 앞,성북구,37.61052322,127.0597992,20,,20
석관동주민센터 앞,성북구,37.61299896,127.0613098,10,,10
성북3교 위,성북구,37.59125137,127.0140076,30,,30
