보관소명,소재지,위도,경도,LCD,QR,설치대수
망원역 1번출구 앞,마포구,37.5556488,126.9106293,,15,15
망원역 2번출구 앞,마포구,37.55495071,126.9108353,,14,14
합정역 1번출구 앞,마포구,37.55062866,126.9149857,,13,13
합정역 5번출구 앞,마포구,37.55000687,126.9148254,,5,5
합정역 7번출구 앞,마포구,37.54864502,126.9128265,,12,12
신한은행 서교동지점,마포구,37.55751038,126.9185028,,5,5
서교동 사거리,마포구,37.55274582,126.9186173,,10,10
제일빌딩 앞,마포구,37.54769135,126.9199829,,10,10
상수역 2번출구 앞,마포구,37.54787064,126.9235306,10,10,20
극동방송국 앞,마포구,37.54920197,126.9232025,10,10,20
홍대입구역 2번출구 앞,마포구,37.5574379,126.9238205,,25,25
홍대입구역 8번출구 앞,마포구,37.55706024,126.9244232,,15,15
마스타 빌딩 앞,서대문구,37.55893326,126.9271164,,15,15
일진아이윌아파트 옆,서대문구,37.56454086,126.9270706,5,5,10
홍은사거리,서대문구,37.59115982,126.94133,23,23,46
광흥창역 2번출구 앞,마포구,37.54773331,126.9317627,,10,10
서강나루 공원,마포구,37.54528427,126.9310532,,10,10
신수동 사거리,마포구,37.54524231,126.9341126,5,,5
마포소방서 앞,마포구,37.54976654,126.9331741,,15,15
신성기사식당 앞,마포구,37.54745865,126.9383774,,10,10
문화촌 공원,서대문구,37.59432983,126.9473877,,20,20
서강대 정문 건너편,마포구,37.55113983,126.9369888,,20,20
서강대 남문 옆,마포구,37.54948425,126.9389496,,15,15
서강대 후문 옆,마포구,37.55041122,126.9438477,,20,20
현대벤처빌 앞,마포구,37.5535202,126.9369507,,15,15
신촌역(2호선) 1번출구 옆,서대문구,37.55549622,126.9363403,,18,18
신촌역(2호선) 6번출구 옆,마포구,37.55505371,126.9375687,,10,10
신촌역(2호선) 7번출구 앞,마포구,37.55485916,126.9361572,10,,10
증산2교,서대문구,37.5841713,126.9111023,,20,20
해담는다리,서대문구,37.58203125,126.9089966,,14,14
연세로 명물길,서대문구,37.55789185,126.9380798,,8,8
명물길 원형무대 앞,서대문구,37.5591011,126.9391785,10,,10
신촌기차역입구 교차로,서대문구,37.55681229,126.9431839,,10,10
신촌동 제1공영주차장 앞,서대문구,37.5591774,126.9345245,10,,10
연세대 정문 건너편,서대문구,37.55986404,126.9344177,10,10,20
이화여대 후문,서대문구,37.560009,126.9407349,,22,22
연대 대운동장 옆,서대문구,37.56238174,126.9326477,,10,10
아현역 4번출구 앞,마포구,37.55720139,126.9556656,11,,11
공덕역 2번출구,마포구,37.54457855,126.9502182,9,,9
공덕역 8번출구,마포구,37.5435791,126.9513245,10,,10
공덕역 5번출구,마포구,37.54425049,126.9516373,9,,9
마포역 2번출구 뒤,마포구,37.53993607,126.9458237,12,,12
마포역 4번출구 뒤,마포구,37.53927231,126.9459152,7,,7
용강동 주민센터 앞,마포구,37.54234695,126.9430237,11,,11
서강대역 2번출구 앞,마포구,37.55295563,126.9343414,15,,15
성산2교 사거리,마포구,37.56469727,126.9126129,10,,10
마포구청역,마포구,37.56090927,126.9054947,13,,13
가좌역1 번출구 뒤,마포구,37.56829453,126.9150467,,15,15
서울서부지방법원 앞,마포구,37.54933167,126.9549179,10,,10
애오개역 4번출구 앞,마포구,37.5530014,126.9566879,12,,12
이대역 4번 출구,서대문구,37.55695343,126.9463425,,5,5
북아현동 가구거리,서대문구,37.55754852,126.9593811,13,,13
무악재역1번 출구,서대문구,37.58224487,126.9506455,8,,8
봉원고가차도 밑,서대문구,37.56526947,126.9462433,15,,15
명지전문대학교 정문 앞,서대문구,37.58369827,126.9249649,,7,7
북가좌1동 주민센터,서대문구,37.57447815,126.9100494,10,,10
중앙근린공원,서대문구,37.57513809,126.9139404,20,,20
가재울 초등학교,서대문구,37.57381821,126.9192352,20,,20
연가초등학교 옆,서대문구,37.57946014,126.9171295,15,,15
북가좌 삼거리,서대문구,37.57300186,126.9077988,10,,10
DMC파크뷰자이아파트 302동 앞,서대문구,37.57311249,126.9224472,10,,10
임광빌딩 앞,서대문구,37.56472397,126.9672775,10,,10
서대문역 8번출구 앞,서대문구,37.56477737,126.9661484,8,,8
홍연2교옆,서대문구,37.57806778,126.9308853,20,,20
명지대학교 도서관,서대문구,37.58109665,126.9240265,10,,10
북가좌 초등학교,서대문구,37.57767487,126.9098053,8,,8
증산3교 앞,서대문구,37.57987595,126.9063492,10,,10
가좌역 4번출구 앞,서대문구,37.56912231,126.9147949,14,,14
충정로역 7번출구 아래,서대문구,37.55996704,126.9624634,10,,10
망원초록길 입구,마포구,37.55134201,126.9026718,15,,15
망원2빗물펌프장 앞,마포구,37.5513649,126.9030609,,9,9
하늘채코오롱아파트 건너편,마포구,37.56516647,126.9193955,15,,15
7번가피자 서교망원점,마포구,37.55894852,126.907753,9,,9
마포 신수공원 앞,마포구,37.54254532,126.9342957,15,,15
월드컵공원,마포구,37.56396484,126.8982086,,40,40
홍은동 정원여중 입구,서대문구,37.58638763,126.9351273,,9,9
서우빌딩,서대문구,37.57889175,126.9107361,10,,10
연서어린이공원,서대문구,37.57222748,126.9230652,10,,10
증산교 앞,서대문구,37.57731628,126.9029694,10,,10
모래내고가차도,서대문구,37.56765747,126.9178085,10,,10
연희교차로 인근,서대문구,37.56612015,126.9258957,10,,10
충정2교,서대문구,37.5621376,126.9637756,,15,15
서울 월드컵 경기장,마포구,37.56684494,126.8964462,30,,30
국회의원회관,영등포구,37.52841568,126.9139175,,18,18
진미파라곤 앞,영등포구,37.53123856,126.9213333,,15,15
국민일보 앞,영등포구,37.52881622,126.92453,,30,30
국회의사당역 3번출구 옆,영등포구,37.5280571,126.9187012,,15,15
국회의사당역 5번출구 옆,영등포구,37.52816391,126.9170227,,13,13
산업은행 앞,영등포구,37.52626419,126.9205093,,20,20
KBS 앞,영등포구,37.52466583,126.9180222,,35,35
여의나루역 1번출구 앞,영등포구,37.52715683,126.9319,46,,46
유진투자증권빌딩 앞,영등포구,37.52461243,126.9278336,,12,12
여의도역 4번출구 옆,영등포구,37.52222824,126.9246368,13,,13
여의도역 1번출구 옆,영등포구,37.5213623,126.9234619,35,,35
KT앞,영등포구,37.52190781,126.9189529,,19,19
금융감독원 앞,영등포구,37.5230217,126.9208374,,21,21
여의도고교 앞,영등포구,37.52483749,126.934906,,10,10
NH농협은행 앞,영등포구,37.52207947,126.9303665,,9,9
롯데캐슬엠파이어 옆,영등포구,37.52069473,126.9258347,,12,12
미성아파트 A동 앞,영등포구,37.5193634,126.9260483,,30,30
여의도초교 앞,영등포구,37.52267456,126.9377899,,10,10
시범아파트버스정류장 옆,영등포구,37.51943588,126.9375992,,12,12
진주아파트상가 앞,영등포구,37.51931381,126.9331665,,20,20
롯데캐슬 앞,영등포구,37.5200882,126.9323654,,20,20
앙카라공원 앞,영등포구,37.51736832,126.9292526,,26,26
샛강역 1번출구 앞,영등포구,37.51776505,126.9284134,,19,19
양평2나들목 보행통로 입구,영등포구,37.54466629,126.8883591,10,,10
선유도역 3번출구 앞,영등포구,37.53845978,126.8945084,,10,10
양평1 보행육교 앞,영등포구,37.53587341,126.8921814,25,,25
영등포구청역 1번출구,영등포구,37.52463531,126.8962174,10,,10
남부고용노동지청 남측,영등포구,37.52450562,126.8918228,10,,10
양평우림 이비즈센타 앞,영등포구,37.52565002,126.8878174,20,,20
양평1동 YP센터 앞,영등포구,37.52848816,126.8916473,10,,10
영등포구민체육센터 앞,영등포구,37.50046158,126.9058456,10,,10
신길동 우리은행 옆,영등포구,37.50456619,126.9102325,10,,10
문래동자이아파트 앞,영등포구,37.51615524,126.8946152,10,,10
보라매 두산위브 건너편,동작구,37.49651337,126.9148026,20,,20
제2구민체육센타 앞,영등포구,37.52638626,126.9027557,10,,10
유스호스텔 앞,영등포구,37.5258522,126.9032822,20,,20
문래역 4번출구 앞,영등포구,37.51873779,126.8955765,10,,10
신길우성1차아파트 앞 공원,영등포구,37.50501633,126.8985367,,10,10
신길선원가와인아파트 앞,영등포구,37.51093292,126.9102249,15,,15
이앤씨드림타워 앞,영등포구,37.52708435,126.8913803,15,,15
영등포삼환아파트 앞,영등포구,37.53007889,126.9057083,20,,20
삼성생명 당산사옥 앞,영등포구,37.52826309,126.8966293,10,,10
당산역 10번출구 앞,영등포구,37.53368759,126.9021072,,15,15
초원아파트 앞,영등포구,37.53105545,126.9242096,10,,10
여의도중학교 옆,영등포구,37.52434921,126.9361191,,16,16
대림아파트 사거리,영등포구,37.50764084,126.9230804,10,,10
서울지방병무청 버스정류장,영등포구,37.50449371,126.9219513,10,,10
보라매역4번출구,영등포구,37.49982834,126.9199448,10,,10
신풍역 5번출구 인근,영등포구,37.5006485,126.9095154,10,,10
도림신협 앞,영등포구,37.50380325,126.9034195,10,,10
도림사거리,영등포구,37.50657272,126.9011307,15,,15
동아에코빌입구,영등포구,37.50947571,126.8992996,10,,10
신길역3번출구,영등포구,37.51769257,126.914299,14,,14
대방역6번출구,영등포구,37.51359177,126.9259338,17,,17
여의도 마리나선착장 앞,영등포구,37.53365707,126.9121628,15,,15
영문초등학교 사거리,영등포구,37.51992798,126.889183,12,,12
근로자회관 사거리,영등포구,37.51715088,126.8886261,12,,12
교보생명보험 앞,영등포구,37.52193069,126.8916168,15,,15
영등포유통상가 사거리,영등포구,37.52113342,126.8965378,15,,15
영등포청과시장 사거리,영등포구,37.52029419,126.9011917,10,,10
삼성화재 사옥 옆,영등포구,37.53596115,126.8983002,10,,10
그랜드컨벤션센터 앞,영등포구,37.53471756,126.9000015,6,,6
증권거래소후문교차로,영등포구,37.52234268,126.9271011,,10,10
샛강생태공원방문자센터 앞,영등포구,37.51896286,126.9216156,10,,10
당산육갑문,영등포구,37.53533936,126.9036789,20,,20
영등포역지하쇼핑센타 5번출구,영등포구,37.51626968,126.9068604,10,,10
신동아아파트,영등포구,37.52222061,126.885582,10,,10
SK 영등포주유소,영등포구,37.51828384,126.9126358,10,,10
영등포뉴타운지하상가 2번게이트,영등포구,37.52011871,126.9051666,10,,10
쌍용플레티넘오피스텔,영등포구,37.50793076,126.8952332,10,,10
영등포 푸르지오 아파트,영등포구,37.51322937,126.9044647,,15,15
양평동6차현대아파트 앞,영등포구,37.53210068,126.8944397,10,,10
신동아아파트 앞,영등포구,37.49824142,126.8939819,8,,8
신한은행 대림동지점,영등포구,37.48752975,126.9048767,10,,10
아크로타워 스퀘어(영등포시장),영등포구,37.52251816,126.9072189,15,,15
센트럴 푸르지오 시티 앞,영등포구,37.51821136,126.9022293,12,,12
대림3동사거리(하나은행),영등포구,37.49985886,126.8972397,14,,14
우성아파트 교차로,영등포구,37.49457169,126.8997498,8,,8
영등포전화국사거리 (서강어린이공원),영등포구,37.52576828,126.9057388,10,,10
쌍용예가(구청별관),영등포구,37.52809906,126.8933868,10,,10
대림3동사거리,영등포구,37.49980927,126.8980026,10,,10
당산동 SK V1 빌딩,영등포구,37.5315094,126.8978272,12,,12
문래동 하이테크 시티,영등포구,37.51385117,126.89888,14,,14
영일 어린이공원,영등포구,37.51012039,126.904068,10,,10
충북 미래관,영등포구,37.52917099,126.9075775,15,,15
영등포공원 분수대 앞,영등포구,37.51481247,126.911705,,10,10
KT플라자 영등포점,영등포구,37.52630234,126.9053803,,15,15
국회3문,영등포구,37.52863693,126.912674,,10,10
KBS 연구동 건너편,영등포구,37.52750778,126.914299,,25,25
여의도 순복음교회,영등포구,37.53179169,126.9224548,,10,10
정동사거리,중구,37.56805038,126.9692307,,6,6
경복궁역 7번출구 앞,종로구,37.57579422,126.9714508,20,,20
경복궁역 4번출구 뒤,종로구,37.57594681,126.9740601,,12,12
광화문역 1번출구 앞,종로구,37.57176971,126.9746628,,8,8
광화문역 7번출구 앞,종로구,37.57080841,126.9764328,19,,19
서울역사박물관 앞,종로구,37.56999969,126.9710999,,11,11
광화문 S타워 앞,종로구,37.56996918,126.973938,,31,31
광화문역 6번출구 옆,종로구,37.56996155,126.9761581,,13,13
청계광장 옆,중구,37.56887817,126.9774704,,8,8
국립현대미술관,종로구,37.5797081,126.9808579,,10,10
종각역 1번출구 앞,종로구,37.57039642,126.9817886,,8,8
광교사거리 남측,중구,37.56863403,126.9823151,10,,10
을지로입구역 4번출구 앞,중구,37.56622314,126.9835892,,20,20
KEB 하나금융그룹 명동사옥 옆,중구,37.56546402,126.9841385,15,,15
명동성당 앞,중구,37.56447601,126.986969,10,,10
신세계백화점 본점 앞,중구,37.56143188,126.9806976,,10,10
안국역 5번출구 앞,종로구,37.57624054,126.9861603,18,,18
낙원상가 옆,종로구,37.57335663,126.9874649,,10,10
탑골공원 앞,종로구,37.57039642,126.9881897,,11,11
청계2가 사거리 옆,종로구,37.56848526,126.9878845,8,,8
을지로2가 사거리 북측,중구,37.56638336,126.9872055,,10,10
을지로2가 사거리 남측,중구,37.56599045,126.987793,,5,5
종로3가역 2번출구 뒤,종로구,37.5705986,126.9917908,,10,10
종로3가역 15번출구 앞,종로구,37.57019806,126.9912567,,10,10
티마크 호텔 앞,중구,37.5614624,126.9931107,,10,10
창경궁 입구,종로구,37.57897949,126.9964752,5,,5
세운스퀘어 앞,종로구,37.57095718,126.9971237,18,,18
종로4가 사거리,종로구,37.57106781,126.9981918,10,,10
혜화동 로터리,종로구,37.58562851,127.000679,,8,8
혜화역 3번출구 뒤,종로구,37.58156967,127.0017853,,8,8
대학로 마로니에공원,종로구,37.57978439,127.002533,,22,22
예일빌딩(율곡로) 앞,종로구,37.57543182,127.004982,,6,6
성균관대 E하우스 앞,종로구,37.57403564,127.0067215,10,,10
서울보증보험본사 앞,종로구,37.57330704,127.0007095,18,,18
맥스타일 앞,중구,37.56918335,127.0098801,,10,10
동대문역사문화공원역 9번출구 앞,중구,37.56533051,127.007843,18,,18
독립문역 사거리,종로구,37.57202911,126.9607849,14,,14
사직동주민센터,종로구,37.57633209,126.9685898,7,,7
청운초교 앞 삼거리,종로구,37.58507919,126.9706192,8,,8
중앙고입구 삼거리,종로구,37.58341599,126.9852371,10,,10
재동초교 앞 삼거리,종로구,37.57938766,126.9849472,8,,8
포르투갈 대사관 앞,종로구,37.57915497,126.9889603,10,,10
서울사대부속초교 앞,종로구,37.57650757,127.0024567,15,,15
KT혜화지사 앞,종로구,37.57714462,127.0020599,15,15,30
성대입구 사거리,종로구,37.58250046,126.9985352,13,,13
원남동사거리,종로구,37.57606125,126.9976807,8,,8
동묘앞역 1번출구 뒤,종로구,37.57324219,127.0159073,10,,10
청계8가 사거리,종로구,37.57222366,127.0227051,10,,10
신설동역 11번출구 뒤,종로구,37.57559204,127.02285,13,,13
창신역 1번출구 앞,종로구,37.57933426,127.0150833,8,,8
독립문역 3-1번출구,종로구,37.57384872,126.9586945,,13,13
SK 서린빌딩 앞,종로구,37.5692482,126.9805374,15,,15
광화문 시민열린마당,종로구,37.57549286,126.9785004,12,,12
시청역(2호선) 9번출구 뒤,중구,37.56322861,126.9748383,,24,24
동대입구역 6번출구 뒤,중구,37.55887222,127.0055389,10,,10
약수역 3번출구 뒤,중구,37.55429459,127.0112,10,,10
청구역 2번출구 앞,중구,37.5604744,127.0140762,12,,12
서울역9번출구,중구,37.55599976,126.9733582,7,,7
CJ제일제당 앞,중구,37.56386566,127.0027466,8,,8
장충체육관,중구,37.55853271,127.0069885,15,,15
약수역 10번출구 앞,중구,37.55519867,127.0100479,7,,7
신당역 12번 출구 뒤,중구,37.5658493,127.0164032,17,,17
종로학원본원,중구,37.55978012,126.9685059,10,,10
종각역 5번출구,종로구,37.56983566,126.9826584,10,,10
훈련원공원주차장 앞,중구,37.56699371,127.0034638,10,,10
동성중학교 앞,종로구,37.58573532,127.0016098,10,,10
을지로4가역 1번출구,중구,37.5667305,126.9966049,10,,10
충무로역 1번출구,중구,37.56138992,126.9953537,12,,12
시립미술관,중구,37.56505203,126.9734039,,8,8
동대문역 8번 출구,종로구,37.57014084,127.0093765,12,,12
경희궁 자이 3단지,종로구,37.56748962,126.9659195,,15,15
경희궁 자이 2단지,종로구,37.56885529,126.9645615,8,,8
종묘공영주차장 건너편,종로구,37.57048035,126.9966354,13,,13
을지로3가역 3번출구,중구,37.56655884,126.9924393,8,,8
서울역 센트럴 자이아파트,중구,37.55410767,126.9654083,15,,15
상암한화오벨리스크 1차 앞,마포구,37.58752441,126.8830032,,14,14
상암월드컵파크 10단지 앞,마포구,37.58618927,126.8816147,,13,13
상암월드컵파크 9단지 앞,마포구,37.58285522,126.8798218,,20,20
부엉이공원 앞,마포구,37.58559036,126.8847275,20,,20
DMC빌 앞,마포구,37.58265686,126.885788,,8,8
상암월드컵파크 7단지 앞,마포구,37.58131409,126.8805847,15,,15
마포구 육아종합지원센터,마포구,37.58063126,126.8836746,8,,8
LG CNS앞,마포구,37.58081055,126.8866501,20,,20
누리꿈스퀘어 옆,마포구,37.57939911,126.8891602,,30,30
상암중학교 옆,마포구,37.57749557,126.8877716,,10,10
DMC홍보관,마포구,37.5779953,126.8914719,,10,10
DMC산학협력연구센터 앞,마포구,37.57580185,126.8907394,,22,22
상암월드컵파크 3단지 후문,마포구,37.57147598,126.8896866,,10,10
상암동주민센터 옆,마포구,37.57822037,126.8944702,,8,8
DMC역 9번출구 앞,마포구,37.57746887,126.8973618,10,10,20
상암월드컵파크 1단지 교차로,마포구,37.57566452,126.8944473,,12,12
DMC역 2번출구 옆,마포구,37.57506943,126.8999176,,20,20
월드컵경기장역 3번출구 옆,마포구,37.57072067,126.8989792,10,,10
홈플러스 앞,마포구,37.56842041,126.8994293,21,,21
서울시 공공자전거 상암센터,마포구,37.56624603,126.8961792,40,37,77
마포구청 앞,마포구,37.56574631,126.9018631,,8,8
문화비축기지,마포구,37.56897736,126.8944016,,9,9
롯데하이마트 (상암월드컵점),마포구,37.57361984,126.8980484,15,,15
DMC첨단산업센터,마포구,37.58450317,126.8855972,10,,10
서울신용보증재단,마포구,37.54906082,126.9541779,10,,10
성산시영아파트,마포구,37.56958389,126.9038162,10,,10
명보사거리,중구,37.56439972,126.9914322,10,,10
송도병원,중구,37.54988861,127.0073471,8,,8
KEB하나은행 장충동지점,중구,37.56217194,127.0062637,8,,8
청계천 영도교,중구,37.5710144,127.0197449,,25,25
마포중앙도서관,마포구,37.56333923,126.9082031,10,,10
을지로입구역 2번출구,중구,37.56634521,126.9822922,12,,12
신당 래미안 버스정류장,중구,37.56148911,127.0239334,10,,10
SK 남산빌딩,중구,37.55686188,126.9756165,10,,10
이대역 5번출구,마포구,37.55659103,126.9461899,10,,10
대흥역 1번출구,마포구,37.54846954,126.9409256,12,,12
성산2-1 공영주차장,마포구,37.56472015,126.9067688,15,,15
마포어린이공원,마포구,37.53552246,126.9439087,,10,10
하늘공원 입구,마포구,37.57012177,126.8813477,15,,15
염천교사거리,중구,37.55989075,126.9714966,,15,15
서울역 서부,중구,37.55641556,126.9691925,,13,13
호암아트홀,중구,37.5621109,126.9707184,,9,9
대한상공회의소,중구,37.56015396,126.9741058,,15,15
상명대입구,종로구,37.60012817,126.9578323,13,,13
신영동삼거리,종로구,37.60399246,126.9619446,,6,6
일성아파트,종로구,37.60871887,126.9728622,10,,10
효자동 삼거리,종로구,37.58360291,126.9725494,,51,51
청와대앞길,종로구,37.58351517,126.9796677,8,,8
동대문 종합시장 버스정류장,종로구,37.57123947,127.0044098,,13,13
종로오가 지하쇼핑센터 14번출구,종로구,37.57114029,127.0006714,10,,10
종로2가 버스정류장 (종각방향),종로구,37.57035828,126.9863815,13,,13
종로6가역 버스정류장(동대문 방향),종로구,37.570961,127.0060577,8,,8
숭인2동 주민센터 입구,종로구,37.57447052,127.0198288,10,,10
종로꽃시장 입구 옆,종로구,37.57131958,127.0072098,10,,10
광화문역 5번출구,종로구,37.56989288,126.9775696,21,,21
서울지방경찰청,종로구,37.57436371,126.9723663,10,,10
신영동삼거리(북악터널방향),종로구,37.60351181,126.9620667,15,,15
삼청동 골목,종로구,37.58419037,126.9816971,,10,10
삼청공원 앞,종로구,37.58760452,126.9835968,5,,5
롯데호텔,중구,37.56584167,126.9798126,,13,13
한국은행,중구,37.5622139,126.9808655,,11,11
웨스틴 조선호텔,중구,37.56415939,126.9794846,,10,10
회현역 1번출구,중구,37.5592308,126.9801407,,11,11
회현역 7번출구,중구,37.55974579,126.9800034,,13,13
회현사거리 남측,중구,37.56035995,126.9826508,,10,10
삼일교(시그니쳐 타워),중구,37.56787109,126.9884033,,12,12
을지로4가역 9번출구,중구,37.56605148,126.9979858,,20,20
동대문역사문화공원역 1번출구 뒤편,중구,37.56629944,127.0084915,,40,40
ddp패션몰,중구,37.56764984,127.0118103,,21,21
광희문,중구,37.56443024,127.0099564,,10,10
앰배서더 호텔 주변,중구,37.55928802,127.0026856,,10,10
동대입구역 3번 출구,중구,37.55937576,127.0060272,,10,10
약수역 6번 출구,중구,37.55432129,127.010704,,8,8
신당역 10번 출구,중구,37.56703186,127.0157929,,16,16
남산타운아파트 버스정류장,중구,37.54758453,127.0064392,,12,12
도동삼거리,중구,37.55614853,126.9774246,,12,12
서울역4번출구,중구,37.55677032,126.9731979,,10,10
평창동주민센터 앞,종로구,37.60627365,126.9683228,5,,5
신석초교앞 교차로 교통섬,마포구,37.54364014,126.9383087,,26,26
푸르메병원,마포구,37.58456802,126.8802109,,10,10
구룡근린공원,마포구,37.58320236,126.8827667,,10,10
가온문화공원,마포구,37.58207703,126.8876648,,23,23
월드컵파크 4단지,마포구,37.57597733,126.8880692,,10,10
성산시영아파트 후문,마포구,37.57313538,126.9018478,,10,10
홍대입구역 6번출구,마포구,37.55657578,126.9288559,,7,7
신수동주민센터,마포구,37.54724503,126.9350281,,5,5
염리초등학교 앞,마포구,37.54243088,126.9469986,,10,10
합정동주민센터 앞,마포구,37.551754,126.9123001,,25,25
연남동주민센터 앞,마포구,37.56465149,126.9221268,,10,10
어린이대공원역 3번출구 앞,광진구,37.54706955,127.0742722,10,,10
광진구의회 앞,광진구,37.53730774,127.0703507,,30,30
뚝섬유원지역 1번출구 앞,광진구,37.53186035,127.0671921,,17,17
자양사거리 광진아크로텔 앞,광진구,37.53701019,127.0822449,,12,12
금호 어울림 아파트 앞,성동구,37.54906082,127.0577927,7,,7
성수아이에스비즈타워 앞,성동구,37.54820251,127.0571137,7,,7
성수아카데미타워 앞,성동구,37.54516602,127.0575104,10,,10
이마트 버스정류소 옆,성동구,37.53965378,127.0525894,,25,25
서울숲 남문 버스정류소 옆,성동구,37.54122162,127.0438004,,15,15
서울숲역 4번 출구 옆,성동구,37.54458237,127.0446091,16,,16
뚝섬역 1번 출구 옆,성동구,37.5485611,127.0450058,,15,15
뚝섬역 5번 출구 정류소 옆,성동구,37.54630661,127.0498047,,13,13
성수사거리 버스정류장 앞,성동구,37.54257965,127.0633087,,12,12
광양중학교 앞,광진구,37.53023529,127.0868301,15,,15
광진메디칼 앞,광진구,37.54840469,127.0693665,,10,10
청계천 박물관 앞,성동구,37.57152557,127.0353546,20,,20
양지사거리,성동구,37.56699371,127.0299149,20,,20
상왕십리역 4번 출구 앞,성동구,37.56385803,127.0303192,,8,8
왕십리역 11번 출구 앞,성동구,37.56144714,127.0349197,,14,14
금호역 1번출구 앞,성동구,37.5486412,127.0164261,9,,9
옥수동성당 옆,성동구,37.54366302,127.014061,11,,11
래미안금호하이리버 아파트 102동 옆,성동구,37.55220032,127.0250549,10,,10
한양대병원사거리,성동구,37.55805206,127.0403519,20,,20
용답토속공원 앞,성동구,37.56351089,127.0567246,10,,10
장한평역 8번 출구 앞,성동구,37.56137085,127.0636597,15,,15
청계벽산아파트 앞,성동구,37.56874847,127.0304031,9,,9
금남시장 교차로,성동구,37.54814911,127.0210877,7,,7
금호사거리,성동구,37.54863358,127.0257263,10,,10
응봉삼거리,성동구,37.5539856,127.0335922,,11,11
행당역 2번출구 앞,성동구,37.55735016,127.029213,8,,8
한양대후문역 부근,성동구,37.56035614,127.0413971,10,,10
답십리역 8번출구 앞,성동구,37.56764984,127.0511551,15,,15
군자교교차로,광진구,37.55979538,127.0742035,,10,10
군자역 7번출구 베스트샵 앞,광진구,37.55603027,127.0786438,8,,8
강변역 4번출구 뒤,광진구,37.53546524,127.0944824,,19,19
구의공원(테크노마트 앞),광진구,37.53596878,127.0946732,,20,20
광남중학교,광진구,37.54072952,127.1029053,20,,20
잠실대교북단 교차로,광진구,37.53247833,127.0850906,8,,8
자양나들목,광진구,37.5297699,127.0748596,20,,20
아차산역 3번출구,광진구,37.55122375,127.0897064,10,,10
서울시설공단 앞,성동구,37.57164001,127.0356598,,15,15
구의삼성쉐르빌 앞,광진구,37.54006195,127.0944977,13,,13
대림아크로리버 앞,광진구,37.53657913,127.0929718,10,,10
중곡 성원APT 앞,광진구,37.57125473,127.0798035,19,,19
구의3동주민센터,광진구,37.53784943,127.0921707,9,,9
달맞이공원,성동구,37.54205322,127.020401,20,,20
도선동 주민센터 앞,성동구,37.56764221,127.0256958,10,,10
성동광진 교육지원청 앞,성동구,37.56460571,127.0365219,20,,20
왕십리역 4번 출구 건너편,성동구,37.56109619,127.0367966,,8,8
비전교회 앞,성동구,37.55120468,127.0689316,8,,8
서울숲역 2번출구 앞,성동구,37.54281616,127.0446701,10,,10
군자지하보도 앞,성동구,37.55924606,127.07341,10,,10
성동세무서 건너편,성동구,37.5479126,127.0627518,10,,10
금호역 3번출구,성동구,37.54792786,127.0155716,15,,15
옥수역 3번출구,성동구,37.54136658,127.0177612,,19,19
성수역 2번출구 앞,성동구,37.54459,127.0570831,,15,15
청계8가사거리 부근,성동구,37.57110214,127.0235596,10,,10
응봉현대아파트 정류소,성동구,37.54958344,127.0302429,10,,10
어린이대공원역6번출구,광진구,37.55039597,127.0758591,,20,20
국립정신 건강센터 앞,광진구,37.5653801,127.0865097,10,,10
구의문주차장 앞,광진구,37.54523087,127.0847321,10,,10
아차산역4번출구,광진구,37.55184937,127.0889816,40,,40
대원중고교 입구(대하빌딩),광진구,37.56429291,127.086937,10,,10
광나루역 3번 출구,광진구,37.54483032,127.1042633,10,,10
광진청소년수련관,광진구,37.54654694,127.1061325,10,,10
성동세무서 부근,성동구,37.54829025,127.0624619,8,,8
마장역 4번출구,성동구,37.56520462,127.0418472,8,,8
경일중학교 앞,성동구,37.54317856,127.0490799,10,,10
청계천 생태교실 앞,성동구,37.56797028,127.0468903,20,5,25
광진광장 교통섬,광진구,37.54782867,127.0726318,20,,20
성수2가1동 공영주차장 인근,성동구,37.53680801,127.0554886,9,,9
마장동 주민센터,성동구,37.56594086,127.0453949,10,,10
유니베라 앞,성동구,37.54541779,127.0526428,10,,10
뚝섬 유원지역,광진구,37.53268814,127.0674973,,20,20
성수역3번출구,성동구,37.54415894,127.0566559,8,,8
건국대학교 (입학정보관),광진구,37.53989029,127.0733643,20,,20
건국대학교 (행정관),광진구,37.54277802,127.0753708,5,,5
건국대학교 학생회관,광진구,37.54191208,127.0776367,30,,30
자양중앙나들목,광진구,37.52858734,127.0778732,,5,5
중랑물재생센터(서울새활용플라자),성동구,37.55836487,127.0569077,15,,15
휘경2동 주민센터,동대문구,37.58991241,127.0686798,10,,10
용신동주민센터,동대문구,37.57594681,127.0373612,10,,10
장안동 사거리,동대문구,37.57217407,127.0713882,10,,10
답십리초등학교 옆 공원,동대문구,37.56965637,127.0559616,15,,15
신설동역8번출구,동대문구,37.57419968,127.0264969,8,,8
휘경공고앞,동대문구,37.58462524,127.0702896,14,,14
신이문역 2번출구,동대문구,37.60271072,127.0678635,15,,15
전농삼성아파트,동대문구,37.58131027,127.0553436,10,,10
제기2교,동대문구,37.58774567,127.037384,30,,30
동대문중 교차로,동대문구,37.57308578,127.0521622,10,,10
시립동부병원 앞 사거리,동대문구,37.57366562,127.0308151,20,,20
신설동역 10번출구 앞,동대문구,37.57527161,127.023468,10,,10
용두동 사거리,동대문구,37.57768631,127.0310135,23,,23
